"","us","sy","total"
"2016-09-30 15:53:00.000","1","0","1"
"2016-09-30 15:53:01.000","29","6","35"
"2016-09-30 15:53:02.000","24","5","29"
"2016-09-30 15:53:03.000","33","6","39"
"2016-09-30 15:53:04.000","49","6","55"
"2016-09-30 15:53:06.000","78","5","83"
"2016-09-30 15:53:07.000","92","6","98"
"2016-09-30 15:53:08.000","84","11","95"
"2016-09-30 15:53:09.000","88","10","98"
"2016-09-30 15:53:10.000","81","14","95"
"2016-09-30 15:53:11.000","75","16","91"
"2016-09-30 15:53:12.000","75","16","91"
"2016-09-30 15:53:13.000","68","20","88"
"2016-09-30 15:53:14.000","73","19","92"
"2016-09-30 15:53:15.000","79","15","94"
"2016-09-30 15:53:16.000","80","14","94"
"2016-09-30 15:53:17.000","77","18","95"
"2016-09-30 15:53:18.000","76","17","93"
"2016-09-30 15:53:19.000","84","13","97"
"2016-09-30 15:53:20.000","79","15","94"
"2016-09-30 15:53:21.000","73","17","90"
"2016-09-30 15:53:22.000","63","18","81"
"2016-09-30 15:53:23.000","71","17","88"
"2016-09-30 15:53:24.000","69","17","86"
"2016-09-30 15:53:25.000","68","17","85"
"2016-09-30 15:53:26.000","64","18","82"
"2016-09-30 15:53:27.000","67","16","83"
"2016-09-30 15:53:28.000","64","18","82"
"2016-09-30 15:53:29.000","81","14","95"
"2016-09-30 15:53:30.000","77","14","91"
"2016-09-30 15:53:31.000","71","17","88"
"2016-09-30 15:53:32.000","65","17","82"
"2016-09-30 15:53:33.000","67","17","84"
"2016-09-30 15:53:34.000","59","19","78"
"2016-09-30 15:53:35.000","58","20","78"
"2016-09-30 15:53:36.000","57","20","77"
"2016-09-30 15:53:37.000","53","20","73"
"2016-09-30 15:53:38.000","65","18","83"
"2016-09-30 15:53:39.000","58","20","78"
"2016-09-30 15:53:40.000","56","20","76"
"2016-09-30 15:53:41.000","75","16","91"
"2016-09-30 15:53:42.000","73","16","89"
"2016-09-30 15:53:43.000","61","16","77"
"2016-09-30 15:53:44.000","61","20","81"
"2016-09-30 15:53:45.000","57","20","77"
"2016-09-30 15:53:46.000","46","22","68"
"2016-09-30 15:53:47.000","53","20","73"
"2016-09-30 15:53:48.000","46","22","68"
"2016-09-30 15:53:49.000","55","20","75"
"2016-09-30 15:53:50.000","49","21","70"
"2016-09-30 15:53:51.000","61","19","80"
"2016-09-30 15:53:52.000","47","22","69"
"2016-09-30 15:53:53.000","44","22","66"
"2016-09-30 15:53:54.000","57","20","77"
"2016-09-30 15:53:55.000","51","22","73"
"2016-09-30 15:53:56.000","52","19","71"
"2016-09-30 15:53:57.000","48","20","68"
"2016-09-30 15:53:58.000","55","20","75"
"2016-09-30 15:53:59.000","47","21","68"
"2016-09-30 15:54:00.000","55","19","74"
"2016-09-30 15:54:01.000","52","20","72"
"2016-09-30 15:54:02.000","50","20","70"
"2016-09-30 15:54:03.000","51","20","71"
"2016-09-30 15:54:04.000","58","19","77"
"2016-09-30 15:54:05.000","55","20","75"
"2016-09-30 15:54:06.000","55","19","74"
"2016-09-30 15:54:07.000","58","19","77"
"2016-09-30 15:54:08.000","48","20","68"
"2016-09-30 15:54:09.000","52","20","72"
"2016-09-30 15:54:10.000","45","22","67"
"2016-09-30 15:54:11.000","48","23","71"
"2016-09-30 15:54:12.000","43","22","65"
"2016-09-30 15:54:13.000","46","22","68"
"2016-09-30 15:54:14.000","46","20","66"
"2016-09-30 15:54:15.000","43","21","64"
"2016-09-30 15:54:16.000","47","22","69"
"2016-09-30 15:54:17.000","46","23","69"
"2016-09-30 15:54:18.000","47","22","69"
"2016-09-30 15:54:19.000","57","20","77"
"2016-09-30 15:54:20.000","58","18","76"
"2016-09-30 15:54:21.000","56","20","76"
"2016-09-30 15:54:22.000","53","20","73"
"2016-09-30 15:54:23.000","59","19","78"
"2016-09-30 15:54:24.000","46","21","67"
"2016-09-30 15:54:25.000","45","23","68"
"2016-09-30 15:54:26.000","45","21","66"
"2016-09-30 15:54:27.000","47","22","69"
"2016-09-30 15:54:28.000","43","23","66"
"2016-09-30 15:54:29.000","46","23","69"
"2016-09-30 15:54:30.000","54","19","73"
"2016-09-30 15:54:31.000","46","20","66"
"2016-09-30 15:54:32.000","46","22","68"
"2016-09-30 15:54:33.000","46","21","67"
"2016-09-30 15:54:34.000","44","23","67"
"2016-09-30 15:54:35.000","49","19","68"
"2016-09-30 15:54:36.000","50","22","72"
"2016-09-30 15:54:37.000","45","20","65"
"2016-09-30 15:54:38.000","51","21","72"
"2016-09-30 15:54:39.000","53","20","73"
"2016-09-30 15:54:40.000","46","23","69"
"2016-09-30 15:54:41.000","43","21","64"
"2016-09-30 15:54:42.000","45","22","67"
"2016-09-30 15:54:43.000","47","22","69"
"2016-09-30 15:54:44.000","43","22","65"
"2016-09-30 15:54:45.000","24","12","36"
"2016-09-30 15:54:46.000","2","2","4"
"2016-09-30 15:54:47.000","2","3","5"
"2016-09-30 15:54:48.000","1","3","4"
"2016-09-30 15:54:49.000","2","2","4"
"2016-09-30 15:54:50.000","1","2","3"
"2016-09-30 15:54:51.000","2","3","5"
"2016-09-30 15:54:52.000","2","2","4"
"2016-09-30 15:54:53.000","1","2","3"
"2016-09-30 15:54:54.000","1","2","3"
